game_pk,game_date,away_team,home_team,venue,status,total_runs,total_strikeouts,total_home_runs,duration_min,attendance,note,error
824099,2026-06-14,Houston Astros,Kansas City Royals,Kauffman Stadium,pending,,,,,,Scheduled,
824100,2026-06-13,Houston Astros,Kansas City Royals,Kauffman Stadium,pending,,,,,,Scheduled,
824101,2026-06-11,Texas Rangers,Kansas City Royals,Kauffman Stadium,pending,,,,,,Scheduled,
824102,2026-06-12,Houston Astros,Kansas City Royals,Kauffman Stadium,pending,,,,,,Scheduled,
824103,2026-06-10,Texas Rangers,Kansas City Royals,Kauffman Stadium,pending,,,,,,Scheduled,
824105,2026-06-09,Texas Rangers,Kansas City Royals,Kauffman Stadium,pending,,,,,,Scheduled,
824178,2026-06-17,Detroit Tigers,Houston Astros,Daikin Park,pending,,,,,,Scheduled,
824181,2026-06-15,Detroit Tigers,Houston Astros,Daikin Park,pending,,,,,,Scheduled,
824182,2026-06-16,Detroit Tigers,Houston Astros,Daikin Park,pending,,,,,,Scheduled,
824183,2026-06-07,Athletics,Houston Astros,Daikin Park,pending,,,,,,Scheduled,
824184,2026-06-06,Athletics,Houston Astros,Daikin Park,pending,,,,,,Scheduled,
824186,2026-06-05,Athletics,Houston Astros,Daikin Park,pending,,,,,,Scheduled,
824265,2026-06-11,Minnesota Twins,Detroit Tigers,Comerica Park,pending,,,,,,Scheduled,
824266,2026-06-10,Minnesota Twins,Detroit Tigers,Comerica Park,pending,,,,,,Scheduled,
824267,2026-06-09,Minnesota Twins,Detroit Tigers,Comerica Park,pending,,,,,,Scheduled,
824268,2026-06-07,Seattle Mariners,Detroit Tigers,Comerica Park,pending,,,,,,Scheduled,
824269,2026-06-06,Seattle Mariners,Detroit Tigers,Comerica Park,pending,,,,,,Scheduled,
824271,2026-06-05,Seattle Mariners,Detroit Tigers,Comerica Park,pending,,,,,,Pre-Game,
824346,2026-06-11,Chicago Cubs,Colorado Rockies,Coors Field,pending,,,,,,Scheduled,
824347,2026-06-09,Chicago Cubs,Colorado Rockies,Coors Field,pending,,,,,,Scheduled,
824348,2026-06-10,Chicago Cubs,Colorado Rockies,Coors Field,pending,,,,,,Scheduled,
824349,2026-06-07,Milwaukee Brewers,Colorado Rockies,Coors Field,pending,,,,,,Scheduled,
824350,2026-06-05,Milwaukee Brewers,Colorado Rockies,Coors Field,pending,,,,,,Scheduled,
824351,2026-06-06,Milwaukee Brewers,Colorado Rockies,Coors Field,pending,,,,,,Scheduled,
824424,2026-06-14,Detroit Tigers,Cleveland Guardians,Progressive Field,pending,,,,,,Scheduled,
824425,2026-06-12,Detroit Tigers,Cleveland Guardians,Progressive Field,pending,,,,,,Scheduled,
824426,2026-06-13,Detroit Tigers,Cleveland Guardians,Progressive Field,pending,,,,,,Scheduled,
824427,2026-06-08,New York Yankees,Cleveland Guardians,Progressive Field,pending,,,,,,Scheduled,
824428,2026-06-10,New York Yankees,Cleveland Guardians,Progressive Field,pending,,,,,,Scheduled,
824429,2026-06-09,New York Yankees,Cleveland Guardians,Progressive Field,pending,,,,,,Scheduled,
824503,2026-06-17,New York Mets,Cincinnati Reds,Great American Ball Park,pending,,,,,,Scheduled,
